KE_O1s	BE_O1s	CPS_O1s	670eV_1_O1s	670eV_2_O1s	670eV_3_O1s	670eV_4_O1s	Background_O1s	Envelope_O1s
142.81	527.19	1047.02	1029.04	1029.04	1029.04	1029.05	1029.04	1029.05
142.91	527.09	1034.59	1028.99	1028.99	1028.99	1028.99	1028.99	1028.99
143.01	526.99	1050.84	1028.75	1028.75	1028.75	1028.75	1028.75	1028.75
143.11	526.89	1031.26	1028.72	1028.72	1028.72	1028.72	1028.72	1028.72
143.21	526.79	1044.45	1028.56	1028.56	1028.56	1028.56	1028.56	1028.56
143.31	526.69	1043.63	1028.39	1028.39	1028.39	1028.39	1028.39	1028.39
143.41	526.59	1031.31	1028.36	1028.36	1028.36	1028.36	1028.36	1028.36
143.51	526.49	1033.95	1028.3	1028.3	1028.3	1028.3	1028.3	1028.3
143.61	526.39	1047.24	1028.1	1028.1	1028.1	1028.1	1028.1	1028.1
143.71	526.29	1033.47	1028.04	1028.04	1028.04	1028.04	1028.04	1028.04
143.81	526.19	1028.93	1028.03	1028.03	1028.03	1028.03	1028.03	1028.03
143.91	526.09	1031.94	1027.99	1027.99	1027.99	1027.99	1027.99	1027.99
144.01	525.99	1039.99	1027.86	1027.86	1027.86	1027.86	1027.86	1027.86
144.11	525.89	1038.06	1027.75	1027.75	1027.75	1027.75	1027.75	1027.75
144.21	525.79	1026.13	1027.74	1027.74	1027.74	1027.74	1027.74	1027.74
144.31	525.69	1024.98	1027.71	1027.71	1027.71	1027.71	1027.71	1027.71
144.41	525.59	1035.11	1027.63	1027.63	1027.63	1027.63	1027.63	1027.63
144.51	525.49	1025.94	1027.61	1027.61	1027.61	1027.61	1027.61	1027.61
144.61	525.39	1021.78	1021.78	1021.78	1021.78	1021.78	1021.78	1021.78
