B.E.	O 1s:CPS	O 1s:O*	O 1s:OH	O 1s:H2O	O 1s:Multi H2O	O 1s:gas phase	Background	Envelope		
5.378000e+002	1.760225e+003	1.735447e+003	1.735447e+003	1.735447e+003	1.735447e+003	1.735479e+003	1.735447e+003	1.735479e+003		
5.377000e+002	1.749063e+003	1.735411e+003	1.735411e+003	1.735411e+003	1.735411e+003	1.735461e+003	1.735411e+003	1.735461e+003		
5.376000e+002	1.745228e+003	1.735384e+003	1.735384e+003	1.735384e+003	1.735384e+003	1.735463e+003	1.735384e+003	1.735463e+003		
5.375000e+002	1.737728e+003	1.735378e+003	1.735378e+003	1.735378e+003	1.735378e+003	1.735500e+003	1.735378e+003	1.735500e+003		
5.374000e+002	1.750273e+003	1.735337e+003	1.735337e+003	1.735337e+003	1.735337e+003	1.735524e+003	1.735337e+003	1.735524e+003		
5.373000e+002	1.747968e+003	1.735303e+003	1.735303e+003	1.735303e+003	1.735303e+003	1.735584e+003	1.735303e+003	1.735584e+003		
5.372000e+002	1.766733e+003	1.735218e+003	1.735218e+003	1.735218e+003	1.735218e+003	1.735635e+003	1.735218e+003	1.735635e+003		
5.371000e+002	1.744830e+003	1.735192e+003	1.735192e+003	1.735192e+003	1.735192e+003	1.735800e+003	1.735192e+003	1.735801e+003		
5.370000e+002	1.752840e+003	1.735144e+003	1.735144e+003	1.735144e+003	1.735145e+003	1.736020e+003	1.735144e+003	1.736020e+003		
5.369000e+002	1.742690e+003	1.735124e+003	1.735124e+003	1.735124e+003	1.735124e+003	1.736365e+003	1.735124e+003	1.736365e+003		
5.368000e+002	1.722195e+003	1.735089e+003	1.735089e+003	1.735089e+003	1.735090e+003	1.736821e+003	1.735089e+003	1.736821e+003		
5.367000e+002	1.761065e+003	1.735019e+003	1.735019e+003	1.735019e+003	1.735019e+003	1.737400e+003	1.735019e+003	1.737401e+003		
5.366000e+002	1.783620e+003	1.734888e+003	1.734888e+003	1.734888e+003	1.734888e+003	1.738106e+003	1.734888e+003	1.738107e+003		
5.365000e+002	1.722485e+003	1.734854e+003	1.734854e+003	1.734854e+003	1.734856e+003	1.739144e+003	1.734854e+003	1.739145e+003		
5.364000e+002	1.744578e+003	1.734828e+003	1.734828e+003	1.734828e+003	1.734831e+003	1.740442e+003	1.734828e+003	1.740445e+003		
5.363000e+002	1.768785e+003	1.734736e+003	1.734736e+003	1.734736e+003	1.734741e+003	1.741970e+003	1.734736e+003	1.741976e+003		
5.362000e+002	1.752765e+003	1.734687e+003	1.734687e+003	1.734687e+003	1.734697e+003	1.743841e+003	1.734687e+003	1.743850e+003		
5.361000e+002	1.781535e+003	1.734561e+003	1.734561e+003	1.734561e+003	1.734576e+003	1.745937e+003	1.734561e+003	1.745953e+003		
5.360000e+002	1.793805e+003	1.734400e+003	1.734400e+003	1.734400e+003	1.734427e+003	1.748274e+003	1.734400e+003	1.748301e+003		
5.359000e+002	1.767645e+003	1.734310e+003	1.734310e+003	1.734310e+003	1.734355e+003	1.750896e+003	1.734310e+003	1.750941e+003		
5.358000e+002	1.757415e+003	1.734248e+003	1.734248e+003	1.734248e+003	1.734322e+003	1.753671e+003	1.734248e+003	1.753745e+003		
5.357000e+002	1.765780e+003	1.734163e+003	1.734163e+003	1.734163e+003	1.734282e+003	1.756421e+003	1.734163e+003	1.756541e+003		
5.356000e+002	1.748120e+003	1.734125e+003	1.734125e+003	1.734125e+003	1.734315e+003	1.759054e+003	1.734125e+003	1.759244e+003		
5.355000e+002	1.751325e+003	1.734078e+003	1.734078e+003	1.734079e+003	1.734377e+003	1.761352e+003	1.734078e+003	1.761652e+003		
5.354000e+002	1.788650e+003	1.733931e+003	1.733931e+003	1.733932e+003	1.734392e+003	1.763041e+003	1.733931e+003	1.763503e+003		
5.353000e+002	1.811625e+003	1.733721e+003	1.733721e+003	1.733722e+003	1.734426e+003	1.764022e+003	1.733721e+003	1.764729e+003		
5.352000e+002	1.766922e+003	1.733631e+003	1.733631e+003	1.733634e+003	1.734690e+003	1.764379e+003	1.733631e+003	1.765441e+003		
5.351000e+002	1.761448e+003	1.733556e+003	1.733556e+003	1.733562e+003	1.735125e+003	1.763953e+003	1.733556e+003	1.765528e+003		
5.350000e+002	1.779793e+003	1.733430e+003	1.733430e+003	1.733441e+003	1.735720e+003	1.762737e+003	1.733430e+003	1.765038e+003		
5.349000e+002	1.794912e+003	1.733264e+003	1.733264e+003	1.733283e+003	1.736553e+003	1.760796e+003	1.733264e+003	1.764103e+003		
5.348000e+002	1.782870e+003	1.733130e+003	1.733130e+003	1.733163e+003	1.737791e+003	1.758379e+003	1.733130e+003	1.763073e+003		
5.347000e+002	1.794260e+003	1.732965e+003	1.732965e+003	1.733021e+003	1.739453e+003	1.755569e+003	1.732965e+003	1.762114e+003		
